ID,Slug,Total Share,Visits,Capture Date
2fkFE8rbu,dall-e,0.30798281,4792212,2023-11-27
HMNcP6w7d,data-analysis,0.14380199,2237559,2023-11-27
YyyyMT9XH,chatgpt-classic,0.10733482,1670129,2023-11-27
lN1gKFnvL,creative-writing-coach,0.04691425,729986,2023-11-27
fTA4FQ7wj,hot-mods,0.03188368,496109,2023-11-27
TTTAK9GuS,the-negotiator,0.02599295,404450,2023-11-27
ENhijiiwK,math-mentor,0.02249431,350011,2023-11-27
FdMHL1sNo,cosmic-dream,0.01976050,307473,2023-11-27
DerYxX7rA,coloring-book-hero,0.01716771,267129,2023-11-27
alKfVrz9K,canva,0.01649509,256664,2023-11-27
Sug6mXozT,game-time,0.01465629,228053,2023-11-27
WKIaLGGem,tech-support-advisor,0.01410303,219444,2023-11-27
gPRWpLspC,sticker-whiz,0.01380468,214801,2023-11-27
OCOyXYJjW,genz-4-meme,0.01233472,191929,2023-11-27
bo0FiWLY7,researchgpt,0.01322428,205769,2023-11-27
n7Rs0IK86,grimoire,0.01227505,191001,2023-11-27
3VrgJ1GpH,sous-chef,0.01189536,185092,2023-11-27
V2KIUZSj0,ai-pdf,0.00989923,154032,2023-11-27
2Eo3NxuS7,designergpt,0.00809297,125926,2023-11-27
jCYeXl5xh,new-gpt-5,0.00740952,115293,2023-11-27
9PKhaweyb,mr-ranedeer,0.00674233,104911,2023-11-27
UfFxTDMxq,askyourpdf-research-assistant,0.00570629,88789,2023-11-27
QrGDSn90Q,laundry-buddy,0.00392715,61106,2023-11-27
hxDOCBQrs,paper-interpreter,0.00355287,55282,2023-11-27
agCdZedbZ,ai-gpt,0.00341185,53088,2023-11-27
gFt1ghYJl,logo-creator,0.00425803,66255,2023-11-27
bZoD0qWT8,the-secret-of-monkey-island-amsterdam,0.00363966,56633,2023-11-27
GbLbctpPz,universal-primer,0.00326539,50810,2023-11-27
L2HknCZTC,scholarai,0.00347694,54102,2023-11-27
0k9rvxdJn,nomadgpt,0.00323284,50303,2023-11-27
tcmMldCYy,simpsonize-me,0.00333048,51823,2023-11-27
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00302130,47011,2023-11-27
I1XNbsyDK,api-docs,0.00350948,54608,2023-11-27
nPanZDwQ5,suparogodezaina-rogozuo-rujun,0.00284772,44311,2023-11-27
EBKM6RsBl,gpts-works,0.00261448,40681,2023-11-27
NgAcklHd8,researchgpt-official,0.00279348,43466,2023-11-27
PXlrhc1MV,mocktail-mixologist,0.00220224,34267,2023-11-27
m5ZAgJ5jt,market-analyst,0.00269042,41863,2023-11-27
kMKw5tFmB,convertanything,0.00236497,36800,2023-11-27
9qWC0oyBd,super-describe,0.00201782,31398,2023-11-27
lFgc4fwRf,grok-ai,0.00185509,28865,2023-11-27
kywiqipmR,builder-io-assistant,0.00196357,30553,2023-11-27
iThwkWDbA,gpt-customizer-file-finder-json-action-creator,0.00173576,27008,2023-11-27
QqvewXqPt,seo-mentor,0.00170863,26586,2023-11-27
pNWGgUYqS,webpilot,0.00220225,34268,2023-11-27
22ZUhrOgu,gpt-shop-keeper,0.00149167,23210,2023-11-27
twUGxmpHv,visual-weather-artist-gpt,0.00149166,23210,2023-11-27
pTF23RJ6f,autoexpert-dev,0.00140488,21860,2023-11-27
gbjSvXu6i,gif-pt,0.00141030,21944,2023-11-27
yPLAsV2bz,profilereview-com,0.00148082,23042,2023-11-27
Cw11sym4k,thumbnail-sketcher,0.00133979,20847,2023-11-27
ERKZdxC6D,automation-consultant-by-zapier,0.00143742,22367,2023-11-27
uBhKUJJTl,ke-ji-wen-zhang-fan-yi,0.00145911,22704,2023-11-27
DpcxPZOvY,si-li-gptbei-gao-xiao,0.00114994,17893,2023-11-27
8OcWVLenu,calendar-gpt,0.00148082,23042,2023-11-27
IZb9C11iR,ying-wen-fan-yi-zhuan-jia,0.00109027,16965,2023-11-27
ucpsGCQHZ,professor-synapse,0.00108484,16880,2023-11-27
MUJ3zHjvn,midjourney-prompt-generator,0.00113366,17640,2023-11-27
WTUuSzTOj,ai-websites,0.00107400,16712,2023-11-27
7CKojumSX,the-glibatree-art-designer,0.00103060,16036,2023-11-27
0g6ZdEtv6,language-coach,0.00123673,19243,2023-11-27
JRQEmbuM9,gpt-store-finder,0.00106315,16543,2023-11-27
iS3LMW2lB,gpt-builders-assistant,0.00103060,16036,2023-11-27
9YeZz6m6k,math-solver,0.00119876,18653,2023-11-27
vPFqv6NDp,typeframes-video-creation,0.00109570,17049,2023-11-27
RuhDS8mbd,17500-best-custom-gpts,0.00204494,31820,2023-11-27
GJttZk3QA,gpt-finder,0.00091127,14179,2023-11-27
iWeTcmxdr,xiao-hong-shu-xie-zuo-zhuan-jia,0.00101975,15868,2023-11-27
qa5VGNSEr,seo-optimized-blog-writer-and-analyzer,0.00096009,14939,2023-11-27
