ID,Slug,Total Share,Visits,Date
2fkFE8rbu,dall-e,0.40532919,6367722,2023-12-11
HMNcP6w7d,data-analysis,0.17114757,2688729,2023-12-11
YyyyMT9XH,chatgpt-classic,0.15416029,2421859,2023-12-11
lN1gKFnvL,creative-writing-coach,0.05068783,796305,2023-12-11
bo0FiWLY7,researchgpt,0.02433463,382298,2023-12-11
ENhijiiwK,math-mentor,0.02155002,338553,2023-12-11
TTTAK9GuS,the-negotiator,0.02156120,338728,2023-12-11
fTA4FQ7wj,hot-mods,0.02095172,329151,2023-12-11
FdMHL1sNo,cosmic-dream,0.01839075,288919,2023-12-11
V2KIUZSj0,ai-pdf,0.01832367,287865,2023-12-11
n7Rs0IK86,grimoire,0.01733954,272404,2023-12-11
WKIaLGGem,tech-support-advisor,0.01474503,231647,2023-12-11
alKfVrz9K,canva,0.01577390,247807,2023-12-11
jCYeXl5xh,new-gpt-5,0.01569003,246491,2023-12-11
DerYxX7rA,coloring-book-hero,0.01174236,184472,2023-12-11
UfFxTDMxq,askyourpdf-research-assistant,0.01096513,172263,2023-12-11
Sug6mXozT,game-time,0.00990831,155660,2023-12-11
3VrgJ1GpH,sous-chef,0.00935474,146963,2023-12-11
9PKhaweyb,mr-ranedeer,0.01018790,160051,2023-12-11
gPRWpLspC,sticker-whiz,0.00833148,130888,2023-12-11
OCOyXYJjW,genz-4-meme,0.00839300,131854,2023-12-11
2Eo3NxuS7,designergpt,0.00769965,120963,2023-12-11
pmuQfob8d,no_slug,0.00864461,135808,2023-12-11
NgAcklHd8,researchgpt-official,0.00531765,83543,2023-12-11
gFt1ghYJl,logo-creator,0.00536233,84243,2023-12-11
bZoD0qWT8,the-secret-of-monkey-island-amsterdam,0.00414338,65093,2023-12-11
L2HknCZTC,scholarai,0.00400361,62897,2023-12-11
agCdZedbZ,ai-gpt,0.00377992,59383,2023-12-11
9qWC0oyBd,super-describe,0.00364572,57275,2023-12-11
WxhtjcFNs,content-helpfulness-and-quality-seo-analyzer,0.00329905,51828,2023-12-11
